MatchId,market_normalised,Player,Option,legs,first_price,last_price,fixture,kickoff,turnover_within,currencies,currency,distinct_uids,turnover_is_mixed_currency,implied_prob_move,direction,is_sharp_move
36966591,Team completed passes,Pases completados equipo,Spain 700 or more,9,1.67,1.2,Spain - Saudi Arabia,2026-06-21 16:00:48,768.47,1,EUR,9,False,0.3916666666666666,steamer,True
36966609,Match shots on target,Remates a puerta durante el partido,11 or more,9,3.57,2.57,Argentina - Austria,2026-06-22 17:00:58,36.7,1,EUR,7,False,0.38910505836575876,steamer,True
36966640,Team Shots,Remates equipo,Portugal 18 or more,13,2.33,1.68,Portugal - Uzbekistan,2026-06-23 17:00:06,,2,,8,True,0.38690476190476186,steamer,True
36024480,Match,Partido,Both teams to score y Patrik Schick to score,8,5.22,3.77,South Korea - Czech Republic,2026-06-12 02:00:54,14.19,1,EUR,3,False,0.3846153846153847,steamer,True
36966593,Shots on target (Star Substitute),Remates a puerta Lukaku (Suplente Estrella),2 or more,13,2.6,1.88,Belgium - Iran,2026-06-21 19:00:03,310.38,1,EUR,13,False,0.38297872340425543,steamer,True
36024518,Player most passes (voiding in case of tie),Jugador en dar más pases,Sander Berge,92,4.49,3.26,Iraq - Norway,2026-06-16 22:00:57,490.34000000000003,1,EUR,6,False,0.3773006134969326,steamer,True
33890304,Team goal kicks,Saques de puerta equipo,Japan 8 or more,7,2.76,2.01,Netherlands - Japan,2026-06-14 20:00:08,,2,,4,True,0.3731343283582089,steamer,True
36966638,Home-side combo (bet builder),Inglaterra,"England win, Over 10.5 corners y Harry Kane to score 2 or more goals",6,12.0,8.75,England - Ghana,2026-06-23 20:00:08,85.82,1,EUR,6,False,0.37142857142857144,steamer,True
33890299,1st half: Team corners,1º tiempo: Corners equipo,Belgium 4 or more,5,2.55,1.86,Belgium - Egypt,2026-06-15 19:00:29,197.31,1,EUR,4,False,0.3709677419354836,steamer,True
36024491,Team shots on target,Remates a puerta equipo,Bosnia And Herzegovina 3 or more,7,1.82,1.33,Canada - Bosnia And Herzegovina,2026-06-12 19:02:13,122.53999999999999,1,EUR,7,False,0.36842105263157904,steamer,True
36966640,Shots on target (Star Substitute),Remates a puerta Cristiano Ronaldo (Suplente Estrella),2 or more,11,1.97,1.44,Portugal - Uzbekistan,2026-06-23 17:00:06,295.0,1,EUR,11,False,0.3680555555555556,steamer,True
36966638,Home-side combo (bet builder),Inglaterra,"England win, Over 8.5 corners y Harry Kane to score 2 or more goals",22,7.25,5.3,England - Ghana,2026-06-23 20:00:08,86.65,1,EUR,16,False,0.36792452830188693,steamer,True
36024492,Match fouls,Faltas durante el partido,25 or more,12,2.2,1.61,Australia - Turkey,2026-06-14 04:00:30,23.0,1,EUR,2,False,0.36645962732919246,steamer,True
36966473,Player most passes (voiding in case of tie),Jugador en dar más pases,Akanji,35,4.59,3.36,Switzerland - Bosnia And Herzegovina,2026-06-18 19:00:01,333.27,1,EUR,4,False,0.3660714285714285,steamer,True
36966640,Team corners,Corners equipo,Portugal 7 or more,9,1.91,1.4,Portugal - Uzbekistan,2026-06-23 17:00:06,,2,,9,True,0.3642857142857143,steamer,True
33890210,Team corners,Corners equipo,Jordan 5 or more,6,4.4,3.23,Austria - Jordan,2026-06-17 04:02:52,,2,,6,True,0.3622291021671828,steamer,True
36966553,Fouls (Star Substitute),Faltas Franck Kessie (Suplente Estrella),2 or more,5,2.26,1.67,Germany - Ivory Coast,2026-06-20 20:00:00,76.95,1,EUR,4,False,0.35329341317365276,steamer,True
36024520,Player most passes (voiding in case of tie),Jugador en dar más pases,Vitinha,119,4.54,3.36,Portugal - Democratic Republic of the Congo,2026-06-17 17:01:15,559.37,1,EUR,7,False,0.3511904761904762,steamer,True
